央视频道,#genre#
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
精彩影视,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000063
中國環球,http://live.cgtn.com/500/prog_index.m3u8
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://mywlkj.ddns.net:754/tv/tw3.php?id=4
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
三立戏剧,http://mywlkj.ddns.net:754/tv/tw3.php?id=6
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大综合,http://mywlkj.ddns.net:754/tv/tw3.php?id=14





山西,#genre#
山西经济与科技,http://liveflash.sxrtv.com/live/sxfinance.m3u8?sub_m3u8=true&edge_slice=true
山西经济与科技,http://angtv.cn/live/shanxi.php?id=sxjj
山西社会与法治,http://liveflash.sxrtv.com/live/sxedu.m3u8?sub_m3u8=true&edge_slice=true
山西社会与法治,http://angtv.cn/live/shanxi.php?id=sxshfz
山西文体生活,http://liveflash.sxrtv.com/live/sxpublic.m3u8?sub_m3u8=true&edge_slice=true
山西文体生活,http://angtv.cn/live/shanxi.php?id=sxwtsh
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
山西影视,http://angtv.cn/live/shanxi.php?id=sxys
山西黄河,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
山西黄河,http://angtv.cn/live/shanxi.php?id=sxhh
大宁综合,http://live.daningtv.com/channel1/sd/live.m3u8
高平综合,http://live.gprmt.cn/gpnews/hd/live.m3u8
吉县新闻综合,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
晋中公共频道,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中新闻频道,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
黎城综合频道,http://111.53.96.67:8081/live/1/index.m3u8
临猗综合频道,http://pili-live-hls.lyzx.live.chinacici.cn/lyrmt/ceshi-ly.m3u8
潞城新闻综合,http://59.48.42.6:62204/lucheng.m3u8
宁武综合,https://fvsln5ps.live.sxmty.com/live/hls/7922d2cdc4734bb3921826418cfa992d/cd7756e2135a48758e73017d502d8ec1-1.m3u8
武乡新闻综合,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8
运城新闻综合,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
运城公共频道,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
运城科技教育,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
长子综合频道,http://zzlive.zzc-media.com:8092/live/xwzh.m3u8
灵石综合,rtmp://live-stream.lsxrmtzx.com/live/video
